Date, Time, Open, High, Low, Last, Volume
2026-6-16, 01:29:00.000000, 7622.25, 7623.25, 7622.00, 7623.25, 148
2026-6-16, 01:30:00.000000, 7623.00, 7624.00, 7622.00, 7622.00, 105
2026-6-16, 01:31:00.000000, 7622.00, 7623.00, 7622.00, 7622.75, 54
2026-6-16, 01:32:00.000000, 7622.50, 7622.50, 7622.00, 7622.25, 48
2026-6-16, 01:33:00.000000, 7622.00, 7622.75, 7621.50, 7622.25, 65
2026-6-16, 01:34:00.000000, 7622.25, 7622.25, 7621.50, 7622.25, 117
2026-6-16, 01:35:00.000000, 7622.25, 7622.50, 7621.75, 7622.50, 64
2026-6-16, 01:36:00.000000, 7622.50, 7623.25, 7622.25, 7623.25, 140
2026-6-16, 01:37:00.000000, 7623.25, 7623.75, 7623.25, 7623.50, 163
2026-6-16, 01:38:00.000000, 7623.25, 7623.50, 7622.25, 7622.50, 48
2026-6-16, 01:39:00.000000, 7622.25, 7622.75, 7621.50, 7622.00, 68
2026-6-16, 01:40:00.000000, 7622.00, 7622.00, 7621.75, 7621.75, 48
2026-6-16, 01:41:00.000000, 7621.75, 7622.00, 7621.75, 7621.75, 51
2026-6-16, 01:42:00.000000, 7622.00, 7623.00, 7622.00, 7622.00, 126
2026-6-16, 01:43:00.000000, 7622.25, 7622.25, 7621.50, 7621.50, 69
2026-6-16, 01:44:00.000000, 7621.50, 7621.50, 7621.00, 7621.25, 80
2026-6-16, 01:45:00.000000, 7621.00, 7621.50, 7620.50, 7621.00, 75
2026-6-16, 01:46:00.000000, 7621.00, 7621.75, 7620.50, 7621.00, 126
2026-6-16, 01:47:00.000000, 7621.25, 7621.25, 7620.50, 7620.50, 59
2026-6-16, 01:48:00.000000, 7620.50, 7621.00, 7620.25, 7620.75, 105
2026-6-16, 01:49:00.000000, 7620.50, 7621.00, 7619.75, 7620.25, 135
2026-6-16, 01:50:00.000000, 7620.25, 7621.00, 7620.00, 7620.75, 63
2026-6-16, 01:51:00.000000, 7620.75, 7621.00, 7620.50, 7621.00, 67
2026-6-16, 01:52:00.000000, 7621.00, 7621.00, 7620.75, 7621.00, 29
2026-6-16, 01:53:00.000000, 7621.25, 7622.25, 7621.25, 7622.25, 90
2026-6-16, 01:54:00.000000, 7622.00, 7622.50, 7621.25, 7622.25, 126
2026-6-16, 01:55:00.000000, 7622.25, 7622.75, 7622.25, 7622.75, 81
2026-6-16, 01:56:00.000000, 7622.50, 7622.50, 7622.25, 7622.25, 78
2026-6-16, 01:57:00.000000, 7622.00, 7622.25, 7621.00, 7621.00, 121
2026-6-16, 01:58:00.000000, 7621.25, 7622.00, 7621.25, 7622.00, 147
2026-6-16, 01:59:00.000000, 7622.00, 7622.75, 7622.00, 7622.25, 110
2026-6-16, 02:00:00.000000, 7622.25, 7625.00, 7622.25, 7623.75, 594
2026-6-16, 02:01:00.000000, 7623.50, 7624.75, 7623.00, 7624.00, 209
2026-6-16, 02:02:00.000000, 7623.75, 7624.00, 7622.25, 7623.00, 245
2026-6-16, 02:03:00.000000, 7623.25, 7623.25, 7622.25, 7622.50, 166
2026-6-16, 02:04:00.000000, 7622.50, 7623.00, 7622.00, 7622.50, 267
2026-6-16, 02:05:00.000000, 7622.25, 7623.00, 7622.00, 7622.25, 189
2026-6-16, 02:06:00.000000, 7622.50, 7624.00, 7622.50, 7624.00, 312
2026-6-16, 02:07:00.000000, 7624.00, 7624.25, 7623.25, 7624.25, 118
2026-6-16, 02:08:00.000000, 7624.00, 7625.75, 7624.00, 7624.75, 835
2026-6-16, 02:09:00.000000, 7625.00, 7626.25, 7624.75, 7625.25, 195
2026-6-16, 02:10:00.000000, 7625.50, 7626.25, 7625.00, 7625.00, 243
2026-6-16, 02:11:00.000000, 7625.00, 7625.00, 7624.00, 7624.00, 150
2026-6-16, 02:12:00.000000, 7624.00, 7625.00, 7623.50, 7625.00, 259
2026-6-16, 02:13:00.000000, 7624.75, 7625.00, 7623.50, 7624.00, 140
2026-6-16, 02:14:00.000000, 7624.00, 7624.25, 7623.50, 7623.75, 132
2026-6-16, 02:15:00.000000, 7623.75, 7625.00, 7623.50, 7625.00, 143
2026-6-16, 02:16:00.000000, 7625.00, 7626.00, 7624.75, 7625.75, 280
2026-6-16, 02:17:00.000000, 7625.75, 7626.25, 7624.50, 7624.50, 345
2026-6-16, 02:18:00.000000, 7624.50, 7624.75, 7623.50, 7624.00, 214
2026-6-16, 02:19:00.000000, 7624.25, 7626.25, 7624.25, 7625.50, 217
2026-6-16, 02:20:00.000000, 7625.25, 7625.25, 7623.75, 7624.50, 197
2026-6-16, 02:21:00.000000, 7624.50, 7626.50, 7624.25, 7626.00, 316
2026-6-16, 02:22:00.000000, 7625.75, 7626.00, 7624.00, 7624.50, 233
2026-6-16, 02:23:00.000000, 7624.50, 7624.50, 7624.00, 7624.00, 214
2026-6-16, 02:24:00.000000, 7624.00, 7624.75, 7624.00, 7624.25, 280
2026-6-16, 02:25:00.000000, 7624.25, 7625.50, 7624.25, 7625.25, 149
2026-6-16, 02:26:00.000000, 7625.25, 7626.00, 7625.25, 7626.00, 121
2026-6-16, 02:27:00.000000, 7625.75, 7627.00, 7625.25, 7627.00, 159
2026-6-16, 02:28:00.000000, 7627.00, 7627.75, 7626.50, 7627.00, 162
2026-6-16, 02:29:00.000000, 7627.00, 7627.00, 7626.25, 7626.50, 162
2026-6-16, 02:30:00.000000, 7626.50, 7627.00, 7625.75, 7626.50, 332
2026-6-16, 02:31:00.000000, 7626.50, 7627.00, 7625.00, 7625.75, 140
2026-6-16, 02:32:00.000000, 7625.75, 7627.50, 7625.75, 7626.50, 183
2026-6-16, 02:33:00.000000, 7626.50, 7626.75, 7625.75, 7626.50, 84
2026-6-16, 02:34:00.000000, 7626.25, 7626.75, 7625.25, 7625.50, 101
2026-6-16, 02:35:00.000000, 7625.75, 7627.50, 7625.50, 7627.25, 116
2026-6-16, 02:36:00.000000, 7627.50, 7627.75, 7627.00, 7627.25, 229
2026-6-16, 02:37:00.000000, 7627.00, 7627.50, 7626.25, 7626.50, 207
2026-6-16, 02:38:00.000000, 7626.50, 7626.75, 7625.75, 7626.75, 104
2026-6-16, 02:39:00.000000, 7627.00, 7627.50, 7626.50, 7627.25, 282
2026-6-16, 02:40:00.000000, 7627.25, 7627.75, 7626.25, 7626.25, 263
2026-6-16, 02:41:00.000000, 7626.25, 7626.50, 7625.50, 7626.00, 213
2026-6-16, 02:42:00.000000, 7626.00, 7626.00, 7623.75, 7624.00, 229
2026-6-16, 02:43:00.000000, 7624.00, 7624.25, 7623.00, 7623.00, 245
2026-6-16, 02:44:00.000000, 7623.25, 7623.50, 7622.00, 7622.25, 277
2026-6-16, 02:45:00.000000, 7622.00, 7622.25, 7621.75, 7622.25, 421
2026-6-16, 02:46:00.000000, 7622.25, 7623.00, 7622.25, 7622.25, 407
2026-6-16, 02:47:00.000000, 7622.25, 7622.50, 7621.50, 7622.25, 235
2026-6-16, 02:48:00.000000, 7622.25, 7622.25, 7621.00, 7621.25, 238
2026-6-16, 02:49:00.000000, 7621.00, 7621.50, 7620.25, 7621.25, 318
2026-6-16, 02:50:00.000000, 7621.25, 7622.50, 7621.00, 7622.00, 485
2026-6-16, 02:51:00.000000, 7622.00, 7623.00, 7622.00, 7622.75, 196
2026-6-16, 02:52:00.000000, 7623.00, 7623.25, 7621.75, 7623.25, 332
2026-6-16, 02:53:00.000000, 7623.25, 7624.50, 7623.25, 7624.25, 311
